Developer/Owner,Project Name,Project Type,Address,"TIF Amount (USD, NPV basis)",TIF Basis,TIF Cash-Basis Figure (USD),TIF % of Cost,TIF Structure,Total Project Cost (USD),Other Incentives,Status,Completion Date,Fiscal Horizon (yrs),Incentive Paid gross (USD),Net Taxes to Public (USD),Net Public Gain vs Baseline (USD),"Actual Rebate Paid to Developer (USD, Iowa DOM)",Actual Rebate Recipient (Iowa DOM),"Assessed Value (USD, Polk assessor)",Assessor Building Year,Assessor TIF District,Affordable Units,Total Units,Urban Renewal Area,Final Resolution #,Final Action,Final Approval Date,Disposition,Vote,Recusals,Confidence,Flags,Timeline,TIF Amount From,Cost From,Source URL,Source Page,Anchor Quote
"Swaps Cash, LLC",Element Hotel project,Hotel,333 East 3rd Street (formerly 304 E. Walnut Street),2000000.0,NPV (confirmed),,9.3,economic development grant capped at $2M NPV; delivered as 85% of project-generated tax increment years 1-5 and 80% years 6-10,21500000.0,,approved,,30.0,2000000.0,12197613.0,10792277.0,,,,,,,,Metro Center Urban Renewal Area,19-1347,approve development agreement,2019-08-19,,,,medium,,2019-08-19: approve development agreement [19-1347],2019-08-19,2019-08-19,https://councildocs.dsm.city/communications/2019/19-377.pdf,1,Economic Development Grant capped at a maximum total of $2 million
"Jarcor, LLC (Benchmark Real Estate Group; Joe Cordaro)",Argonne Apartments Building historic renovation,Residential,1723 Grand Avenue,984000.0,NPV (confirmed),,12.8,"100% of project-generated tax increment from taxable building valuations (exclusive of land) in years 8-20, NPV at 4.5%",7700000.0,tax abatement (10-year declining tax abatement),completed,2021-02-22,30.0,1966987.0,2669286.0,2219331.0,,,7887000.0,1995.0,DES MOINES METRO CENTER MERGED UR,,45.0,Metro Center Urban Renewal Area,19-0804,approve development agreement,2019-05-20,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2019-04-22: resolution of intent [19-0641] (approved) | 2019-05-20: approve development agreement [19-0804] (approved) | 2019-08-05: other [19-1222] (approved) | 2019-12-16: amend agreement [19-2020] (approved) | 2021-03-08: other [21-0382] (approved),2019-05-20,2019-05-20,https://councildocs.dsm.city/communications/2019/19-216.pdf,1,"estimated at $984,000 (NPV at a 4.5% discount rate)"
"Bell Avenue Properties, Inc. (The Waldinger Corporation)",Waldinger Corporation Office Headquarters and Production Facility,Industrial / warehouse,4701 block of SW 63rd Street at McKinley Avenue and Veteran's Parkway,2300000.0,unverified (no NPV stated in source),,7.2,"100% of new project-generated tax increment for ~5 years, TIF economic development grant capped at $2.3M, commencing after 3-year tax abatement expires",32000000.0,"tax abatement (3-year, 100% commercial tax abatement per Third Restated Urban Revitalization Plan); forgivable loan (economic forgivable loan equal to fair market value purchase price of the vacated Southwest Connector Roadway Easement (~$170,950 per prior conveyance 18-1576/77/78))",completed,2021-01-25,20.0,2300000.0,10655040.0,10622798.0,40000.0,"Bell Ave Properties, Inc",,,,,,Southwest Gateway Urban Renewal Area,19-0480,approve development agreement,2019-03-25,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2018-09-24: resolution of intent [18-1576] (approved) | 2019-03-25: approve development agreement [19-0480] (approved) | 2019-06-24: other [19-1005] (approved),2019-03-25,2019-03-25,https://councildocs.dsm.city/communications/2019/19-119.pdf,1,capped at a maximum total of $2.3 million dollars
"Merle Hay Investors, LLC",Merle Hay Mall rehabilitation & Sears site redevelopment,Retail / restaurant,"Merle Hay Mall, Merle Hay Road and Douglas Avenue",4800000.0,unverified (no NPV stated in source),,,"semi-annual installments of $200,000 (up to $400,000/year) from Merle Hay TIF District for remaining 12-year life of district; total $4.8M",,,approved,,,,,,4105853.0,Merle Hay Mall,,,,,,Merle Hay Commercial Area Urban Renewal Area,19-0479,approve development agreement,2019-03-25,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2019-01-28: resolution of intent [19-0151] (approved) | 2019-03-25: approve development agreement [19-0479] (approved) | 2020-08-17: amend agreement [20-1332] (approved) | 2020-10-19: amend agreement [20-1662] (approved) | 2022-05-09: amend agreement [22-0704] (approved),2019-03-25,,https://councildocs.dsm.city/communications/2019/19-140.pdf,1,"semi-annual installments of $200,000 (up to $400,000 per year)"
"JR Partners, LLC (Tim Rypma, Jeremy Cotright, and Paul Cownie, Members)",,Other,,,,,,,,,approved,,,,,,6835.0,JR Partners LLC,,,,,,,19-0478,resolution of intent,2019-03-25,,,,low,figure_not_in_source,2019-03-25: resolution of intent [19-0478],,,https://councildocs.dsm.city/agendas/ag20190325.pdf,7,"Preliminary terms of an Urban Renewal Development Agreement with JR Partners, LLC"
"Wells Fargo Properties, Inc.",Eighth and Mulberry Parking / Wells Fargo redevelopment,Other,"Eighth and Mulberry, Des Moines",,,,,,,,approved,,,,,,40000.0,"Bell Ave Properties, Inc",,,,,,,19-0481,amend agreement,2019-03-25,approved,7-0,,low,figure_not_in_source,2019-03-25: amend agreement [19-0481] (approved),,,https://councildocs.dsm.city/agendas/ag20190325.pdf,7,"amendment to Redevelopment Agreement with Wells Fargo Properties, Inc."
"PDM Precast, Inc.",PDM Precast steel fabrication plant expansion,Other,3500 Vandalia Road,,,,,,,"land conveyance (25.89 of 29.89 acres City-owned land sold at $40,000/acre with 30% discount; 4 acres in ditch valued at $0; additional undefined discount for extraordinary development costs, subject to recapture if development does not occur)",approved,,,,,,2589517.0,PDM PRECAST INC,0.0,,,,,,19-0135,resolution of intent,2019-01-28,approved,7-0,,medium,,2019-01-28: resolution of intent [19-0135] (approved),,,https://councildocs.dsm.city/communications/2019/19-032.pdf,1,"sold for $40,000 per acre with a 30% discount"
,Drake Urban Renewal Plan / TIF District,TIF district / UR plan,University Avenue near Drake University (10.2 acres),,,,,establishes Drake Urban Renewal Area and TIF district; no direct fiscal impact from plan adoption,,,approved,,,,,,,,,,,,,Drake Urban Renewal Area,19-0085,ordinance,2019-01-14,approved,7-0,,medium,multi_meeting_project,2018-10-22: ordinance [18-1798] (approved) | 2019-01-14: ordinance [19-0085] (approved),,,https://councildocs.dsm.city/communications/2019/19-006.pdf,1,There is no direct fiscal impact associated with the approval of this Plan
,Forest Avenue Urban Renewal Plan 1st Amendment (NDC Multi-Family Project),TIF district / UR plan,"5 parcels / 2.3 acres, Forest Avenue Urban Renewal Area",,,,,,,,approved,,,,,,,,,,,,,Forest Avenue Urban Renewal Area,18-1801,other,2018-10-22,approved,7-0,,medium,,2018-10-22: other [18-1801] (approved),,,https://councildocs.dsm.city/communications/2018/18-513.pdf,1,There is no direct fiscal impact associated with the approval of this Amendment.
"Des Moines Griffin Building, LLC",Griffin Building historic renovation (mixed-use),Mixed-use,319 7th Street,1600000.0,NPV (confirmed),,12.9,100% of project-generated TIF from building valuations (excl. land) years 1-20; NPV at 4.5%; ~12.6% of project costs,12400000.0,tax abatement (10-year declining tax abatement on multi-residential units),completed,2020-11-23,30.0,2845578.0,4877943.0,3081426.0,,,6720000.0,2015.0,DES MOINES METRO CENTER MERGED UR,,35.0,Metro Center Urban Renewal Area,18-1544,approve development agreement,2018-09-10,approved,7-0,,high,figure_not_in_source;multi_meeting_project,2018-09-10: approve development agreement [18-1544] (approved) | 2020-12-21: amend agreement [20-2120] (approved),2018-09-10,2018-09-10,https://councildocs.dsm.city/communications/2018/18-441.pdf,1,"years 1-20, estimated at $1.6 million (NPV at a 4.5% discount rate)"
"SG16, LLC",,Other,,,,,,,,,approved,,,,,,,,,,,,,,18-1341,amend agreement,2018-08-06,approved,7-0,,low,figure_not_in_source,2018-08-06: amend agreement [18-1341] (approved),,,https://councildocs.dsm.city/agendas/ag20180806.pdf,6,"Assignment and Assumption of, and Amendment to Urban Renewal Development Agreement"
"Indigo Dawn, LLC",Four-unit scattered-site housing rehabilitation,Residential,"1124 13th Street, 1311 Laurel Street, and 1345 7th Street",,,,,,1060000.0,"other $104,600 (Estimated WHTC benefit (10% investment tax credit + Iowa sales-tax rebate)); tax abatement $17,468 (City residential 10-year declining tax abatement (local match, estimated))",approved,,,,,,,,305400.0,1886.0,,,,,18-1258,other,2018-07-23,approved,7-0,,high,multi_meeting_project,2018-07-09: other [18-1161] | 2018-07-23: other [18-1258] (approved),,2018-07-23,https://councildocs.dsm.city/communications/2018/18-393.pdf,1,"WHTC benefits for the four (4) units are estimated at $104,600."
"Nelson Development 1, LLC",418 E. Grand Avenue mixed-use development and parking structure,Mixed-use,418 East Grand Avenue,,,,,"Project-generated TIF, multiple streams: Phase I garage 100% yrs1-20 ($2.4M cash / $1.5M NPV at 4.5%); Phase II residential 100% yrs9-16 & 70% yr17 ($1.6M NPV); Phase II commercial 100% yrs1-10 & 85% yrs11-15 ($1.9M NPV); total Phase II ~$3.5M NPV (~15% of sources)",35800000.0,"land conveyance $1,525,000 (Sale of two City-owned surface parking lots to developer); forgivable loan $1,525,000 (Economic development forgivable loan equal to land purchase price); parking $215,460 (20-year City parking lease for 133 ground-level spaces, $215,460 in year 1 ($135/mo/stall), CPI escalation; City retains public parking revenue); tax abatement (10-year declining tax abatement on residential portion (100% yrs1-8, 60% yr9, 40% yr10))",completed,2021-08-09,,,,,223091.0,Nelson Development,4580000.0,2024.0,DES MOINES METRO CENTER MERGED UR,,105.0,Metro Center Urban Renewal Area,"18-1295, 18-1296",approve development agreement,2018-07-23,approved,7-0,,medium,multi_meeting_project,"2018-07-23: approve development agreement [18-1295, 18-1296] (approved) | 2018-09-10: amend agreement [18-1521, 18-1522] (approved)",,2018-07-23,https://councildocs.dsm.city/communications/2018/18-379.pdf,1,"purchase the two (2) City-owned surface parking lots for $1,525,000"
"The Printer, Inc. and Lucky Star III, LLC",,Office,,,,,,,,,approved,,,,,,,,,,,,,,18-1160,approve development agreement,2018-07-09,withdrawn,7-0,,low,figure_not_in_source,2018-07-09: approve development agreement [18-1160] (withdrawn),,,https://councildocs.dsm.city/minutes/as20180709.pdf,6,"approving Development Agreement between The Printer, Inc., Lucky Star III, LLC"
Jeffrey Stewart,832 24th Street single-family home,Other,832 24th Street,,,,,,,,approved,,,,,,,,375900.0,2018.0,,,,,18-1165,amend agreement,2018-07-09,approved,7-0,,high,,2018-07-09: amend agreement [18-1165] (approved),,,https://councildocs.dsm.city/communications/2018/18-347.pdf,1,"extending the agreement to May 1, 2019"
"KOK Vermont Street, LLC",1300-1350 Vermont Street high-cube warehouse,Industrial / warehouse,1300-1350 Vermont Street,,,,,,13900000.0,"land conveyance $210,000 (Sale of City-owned land at appraised FMV (revenue to City)); forgivable loan $210,000 (0% interest forgivable loan from land-sale proceeds, forgiven at certificate of completion); economic development grant $200,000 (Funded from non-project-generated TIF, Central Place Industrial Park TIF district); other $25,000 (City participation (dollar-for-dollar, up to $25,000) in environmental/geotechnical remediation costs); tax abatement $395,000 (10-year declining commercial tax abatement (estimated value))",completed,2019-01-14,,,,,,,149000.0,,DES MOINES CENTRAL PLACE INDUSTRIAL PARK UR,,,Central Place Industrial Park Redevelopment Program Urban Renewal Area,18-0886,approve development agreement,2018-05-21,approved,7-0,,high,,2018-05-21: approve development agreement [18-0886] (approved),,2018-05-21,https://councildocs.dsm.city/communications/2018/18-257.pdf,1,"(B) $210,000 forgivable loan"
"207 Crocker, LLC",207 Crocker hotel (Fairfield Inn and Suites by Marriott),Hotel,207 Crocker Street,1200000.0,NPV (corrected from cash),1400000.0,11.1,90% of project-generated tax increment years 1-8; $1.2M on NPV basis at 4.5%; ~10.7% of project investment,10800000.0,,completed,2019-11-18,,,,,512208.0,"207 Crocker, LLC",10700000.0,2016.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,18-0887,approve development agreement,2018-05-21,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2018-05-21: approve development agreement [18-0887] (approved) | 2022-05-09: amend agreement [22-0703] (approved) | 2022-05-09: amend agreement [22-0703],2018-05-21,2018-05-21,https://councildocs.dsm.city/communications/2018/18-258.pdf,1,Total assistance is estimated at $1.4 million
"Kemin Industries, Inc. and Kemin Holdings, L.C.",Kemin World-wide Campus expansion,Other,vicinity of 1900 Scott Avenue and 2100 Maury Street,,,,,,,"land conveyance $455,402 (Purchase price for City property sold to Kemin ($138,153 cash at closing, $317,249 via ED loan) - revenue to City); forgivable loan $317,249 (City Economic Development Loan funding deferred purchase price; forgivable at maturity in 5 years at 0% interest)",approved,,,,,,,,18900000.0,1993.0,DES MOINES SE AGRI BUSINESS PARK UR,,,,18-0772,amend agreement,2018-05-07,approved,6-1,,high,,2018-05-07: amend agreement [18-0772] (approved),,,https://councildocs.dsm.city/communications/2018/18-237.pdf,1,"$317,249 deferred purchase price to fund economic development loan"
"Rowat Lofts, LLC",Rowat Lofts,Residential,110 SE 7th Street,3090000.0,unverified (no NPV stated in source),,11.4,"Graduated project-generated TIF: 60% yrs1-3, 45% yrs4-6, 40% yrs7-9, 35% yrs10-12, 30% yrs13-15; $2.2M on NPV basis at 4.5%",27100000.0,"tax abatement (10-year declining tax abatement (100% yrs1-8, 60% yr9, 40% yr10))",approved,,,,,,960000.0,"Rowat Lofts, LLC",,,,17.0,162.0,Metro Center Urban Renewal Area,18-0701,approve development agreement,2018-04-23,,,,medium,figure_not_in_source;counterparty_changed_across_actions;multi_meeting_project,"2017-12-18: other [17-2150] (approved) | 2018-03-08: approve development agreement [18-0359] | 2018-04-23: approve development agreement [18-0701] | 2019-11-18: certificate of completion [19-1839, 19-1840] (approved)",2018-04-23,2018-04-23,https://councildocs.dsm.city/communications/2018/18-213.pdf,2,Total TIF assistance is estimated at $3.09 million on a cash basis
"50th and Douglas, LLC",Owner-occupied infill townhome project (3800 block of 50th Street),Residential,3800 block of 50th Street,,,,,,4100000.0,"other $381,300 (Estimated State of Iowa Workforce Housing Tax Credit (WHTC) benefit); tax abatement $525,931 (6-year declining residential tax abatement, local match (estimated valuation))",approved,,,,,,,,,,,,21.0,,18-0696,other,2018-04-23,approved,7-0,,high,,2018-04-23: other [18-0696] (approved),,2018-04-23,https://councildocs.dsm.city/communications/2018/18-214.pdf,1,"WHTC benefits estimated at $381,300."
"Orton Development Company, LLC",Parkway Lofts,Residential,215 SW 9th Street,,,,,,13500000.0,"other $1,000,000 (Estimated State of Iowa WHTC benefit); tax abatement $2,265,000 (10-year declining Targeted Multi-Family tax abatement, local match (estimated valuation)); land conveyance (Purchase of vacant .93-acre City-owned parcel at 215 SW 9th; land-sale hearing to be set for June 11, 2018)",approved,,,,,,,,0.0,,,,77.0,,18-0697,other,2018-04-23,,,,medium,,2018-04-23: other [18-0697],,2018-04-23,https://councildocs.dsm.city/communications/2018/18-215.pdf,1,"WHTC benefits estimated at $1,000,000"
"RE3, LLC",440 E. Grand Avenue historic renovation (mixed-use),Mixed-use,440 E. Grand Avenue,,,,,,,,completed,2019-09-09,,,,,91861.0,RE3 LLC,1508000.0,2010.0,DES MOINES METRO CENTER MERGED UR,,,,18-0700,approve development agreement,2018-04-23,withdrawn,7-0,,low,figure_not_in_source;multi_meeting_project,2018-04-23: approve development agreement [18-0700] (withdrawn) | 2018-07-23: amend agreement [18-1255] (approved),,,https://councildocs.dsm.city/minutes/as20180423.pdf,8,"Urban Renewal Development Agreement with RE3, LLC for the historic renovation"
"206 6th Avenue, LLC",Midland Building,Hotel,206 6th Avenue,4000000.0,unverified (no NPV stated in source),,10.1,Declining TIF rebate of project-generated increment: 100% yrs 1-5; 85% yrs 6-9; 80% yrs 10-12; 75% yrs 13-15; est. $4M cash / $2.9M NPV at 4.5%,39700000.0,"other $400,000 (State of Iowa Redevelopment (Grayfield) Tax Credit allocation)",completed,2021-12-20,,,,,161018.0,206 6th Avenue LLC,8700000.0,2010.0,DES MOINES METRO CENTER MERGED UR,,,Metro Center Urban Renewal Area,18-0358,approve development agreement,2018-03-08,withdrawn,6-1,,medium,figure_not_in_source;multi_meeting_project,2017-10-09: resolution of intent [17-1748] (approved) | 2018-02-19: approve development agreement [18-0288] | 2018-03-08: approve development agreement [18-0358] (withdrawn) | 2018-10-22: amend agreement [18-1758] (approved),2018-03-08,2018-03-08,https://councildocs.dsm.city/communications/2018/18-097.pdf,1,Total assistance is estimated at $4 million on a cash basis
IEC Hotel Corporation,Iowa Events Center (IEC) Hilton Hotel,Hotel,5th & Park Streets,14200000.0,unverified (no NPV stated in source),,14.1,City TIF contribution to permanent financing of convention hotel,101000000.0,"revenue bond $4,000,000 (Private placement of senior City IRA bonds (notes) to local investors; DSM UR Private Capital Note); other $10,000,000 (City guarantee of senior IRA revenue loan (Series D), up to $10M incl. interest ($8.5M principal)); grant $900,000 (Grayfield funding (State of Iowa)); other $3,000,000 (Key money (Hilton))",approved,,,,,,,,,,,,,,18-0418,amend agreement,2018-03-08,,,,medium,,2018-03-08: amend agreement [18-0418],2018-03-08,2018-03-08,https://councildocs.dsm.city/communications/2018/18-122.pdf,1,"$4,000,000 Private Placement of IRA Bonds & $10,000,000 Guarantee"
Accordia Life & Annuity Company (aka Global Atlantic),,Office,Davis Brown Tower,,,,,,,"forgivable loan $100,000 (City local community match, forgivable loan; funding source Metro Center TIF); other $640,000 (IEDA investment tax credits (High Quality Jobs program)); other $135,000 (IEDA sales tax refund on construction materials)",approved,,,,,,,,,,,,,Metro Center,18-0202,approve development agreement,2018-02-05,approved,7-0,,high,,2018-02-05: approve development agreement [18-0202] (approved),,,https://councildocs.dsm.city/communications/2018/18-048.pdf,1,"in the form of a forgivable loan of $100,000"
"219 East Grand, LLC",,Mixed-use,219 E. Grand Avenue,,,,,"TIF rebate in lieu of tax abatement: commercial 100% of increment yrs 1-10 (minus debt-protected levies), 50% yrs 11-15; residential 50% yrs 11-15, capped at $1,000,000 cash basis",27000000.0,,approved,,,,,,542328.0,219 E Grand LLC,,,,,98.0,Metro Center Urban Renewal Area,17-2151,amend agreement,2017-12-18,approved,7-0,,high,,2017-12-18: amend agreement [17-2151] (approved),,2017-12-18,https://councildocs.dsm.city/communications/2017/17-863.pdf,1,"Residential Project TIF capped at $1,000,000 on a cash basis"
"Kemin Industries, Inc. and Kemin Holdings, LC",,Commercial (MAA / abatement),,,,,,,,"forgivable loan $317,249 (Economic Development Loan, forgivable in 5 years at 0% interest if terms met; funded from deferred purchase price); land conveyance $455,402 (Conveyance of ~10.46-acre vacated ROW/excess City property to Kemin Holdings for $455,402 (fair market value; revenue to City))",approved,,,,,,,,,,,,,,17-2190,approve development agreement,2017-12-18,approved,7-0,,high,multi_meeting_project,2017-12-18: approve development agreement [17-2190] (approved) | 2020-11-23: amend agreement [20-1889] (approved),,,https://councildocs.dsm.city/communications/2017/17-839.pdf,2,"$317,249 Economic Development Loan, forgivable at maturity in 5-years"
Neighborhood Development Corporation (NDC),,Other,,,,,,,,,approved,,,,,,,,,,,,,,17-1963,other,2017-11-20,approved,7-0,,low,figure_not_in_source,2017-11-20: other [17-1963] (approved),,,https://councildocs.dsm.city/agendas/ag20171120.pdf,6,Collateral Assignment of Urban Renewal Development Agreement with Neighborhood Development Corporation
"DSMBLC Holdings, Inc.",,Residential,1074 26th Street,,,,,,,"grant $40,000 (Vacant/Abandoned Residential Property Redevelopment funding to acquire adjacent land and duplex; G.O. Bonds via CIP)",approved,,,,,,,,429500.0,1895.0,,,,,17-1964,approve development agreement,2017-11-20,approved,7-0,,high,,2017-11-20: approve development agreement [17-1964] (approved),,,https://councildocs.dsm.city/communications/2017/17-784.pdf,1,"Amount: $40,000"
Neighborhood Development Corporation (NDC),,Residential,2217-2225 University Avenue,,,,,,2600000.0,"tax abatement $460,000 (10-year declining tax abatement (8 yrs 100%, 60% yr 9, 40% yr 10); local match); other $243,672 (State WHTC benefit; 'Amount' field states $243,672 while funding-source line states $1,000,000 (source discrepancy))",approved,,,,,,,,3130000.0,2018.0,,,20.0,,17-1894,other,2017-11-06,approved,7-0,,medium,,2017-11-06: other [17-1894] (approved),,2017-11-06,https://councildocs.dsm.city/communications/2017/17-771.pdf,1,"WHTC benefits estimated at $243,672"
"322 E. Court, LLC and 317 E. Court, LLC",,Other,,,,,,,,,approved,,,,,,111443.0,317 E Court LLC,,,,,,,17-1896,other,2017-11-06,approved,7-0,,low,figure_not_in_source,2017-11-06: other [17-1896] (approved),,,https://councildocs.dsm.city/agendas/ag20171106.pdf,6,"Collateral Assignment of Urban Renewal Development Agreement with 322 E. Court, LLC"
"District at 6th, LLC",,Other,,,,,,,,,completed,2020-12-21,,,,,1050000.0,"Distric at 6th, LLC",,,,,,,17-1836,other,2017-10-23,approved,5-2,,low,figure_not_in_source,2017-10-23: other [17-1836] (approved),,,https://councildocs.dsm.city/agendas/ag20171023.pdf,6,Conditional approval of collateral assignment of Urban Renewal Development Agreement
Elliott Coop Housing Association,Elliott Apartments,Residential,217 4th Street,,,,,,8200000.0,"tax abatement $1,651,000 (10-year, 100% tax abatement on added value; City's local match); other $1,000,000 (State Workforce Housing Tax Credits (WHTC), estimated); other $1,833,122 (State Historic Tax Credits requested (25% of qualified rehab costs)); other $1,466,498 (Federal Historic Tax Credits requested)",approved,,,,,,,,3650000.0,1999.0,DES MOINES METRO CENTER MERGED UR,,64.0,,32,other,2017-10-09,approved,7-0,,high,,2017-10-09: other [32] (approved),,2017-10-09,https://councildocs.dsm.city/communications/2017/17-720.pdf,2,"seeking tax abatement in the estimated amount of $1,651,000"
"New Horizon Real Estate Development - Iowa, LLP (William M. Dunkley)",New Horizon Childcare Academy,Other,northwest corner of SW 9th and Murphy Street (Gray's Landing),,,,,,2600000.0,,approved,,,,,,,,,,,,,,17-1658,approve development agreement,2017-09-25,approved,6-1,,medium,,2017-09-25: approve development agreement [17-1658] (approved),,2017-09-25,https://councildocs.dsm.city/communications/2017/17-700.pdf,2,The $2.6 million project is anticipated to start construction in October 2017
"Gray's Station I, LLC and Gray's Station II, LLC (Hubbell Realty Company)",Gray's Station Multifamily Phases I and II,Residential,200 block of SW 11th Street,,,,,,24700000.0,"other $2,000,000 (WHTC benefits estimated at $2,000,000 ($1,000,000 each project); State of Iowa tax credits); tax abatement (Local match via 10-year declining tax abatement: $1,899,720 (Gray's Station I), $2,063,310 (Gray's Station II))",approved,,,,,,2402909.0,Gray's Station,,,,,135.0,,17-1567,other,2017-09-11,approved,7-0,,high,multi_meeting_project,2017-08-28: other [17-1472] (approved) | 2017-09-11: other [17-1567] (approved),,2017-09-11,https://councildocs.dsm.city/communications/2017/17-664.pdf,1,"WHTC benefits estimated at $2,000,000 ($1,000,000 for each project)."
"Hubbell Realty Company, Hubbell Terminal Corporation, and 510 SW 9th Street, LLC (Rick Tollakson)",Cityville on 9th,Residential,550 SW 9th Street,,,,,,50000000.0,,approved,,,,,,266000.0,Hubbell Realty,5227000.0,2015.0,DES MOINES METRO CENTER MERGED UR,,312.0,,17-1570,amend agreement,2017-09-11,approved,7-0,,medium,,2017-09-11: amend agreement [17-1570] (approved),,2017-09-11,https://councildocs.dsm.city/communications/2017/17-645.pdf,1,Cityville on 9th is a newly constructed $50 million mixed-use development
Friends of SW 9th,SW 9th Street Revitalization,Other,SW 9th Street Corridor (sites incl. 2619 and 2440 SW 9th Street),,,,,,,"economic development grant $220,000 (Economic Development Grant Agreement establishing reporting for $220,000 in funds for Facade/Revitalization Grant, New Businesses Grant, and node development; retroactive to April 11, 2016)",approved,,,,,,,,,,,,,,17-1575,other,2017-09-11,approved,7-0,,high,,2017-09-11: other [17-1575] (approved),,,https://councildocs.dsm.city/communications/2017/17-646.pdf,1,"advancement of funds in the total amount of $220,000 for revitalization projects"
"TWG Development, LLC d/b/a District at 6th, LLC",District at 6th,Residential,201 SE 6th Street,3500000.0,unverified (no NPV stated in source),,8.6,"20 semi-annual payments of $175,000 beginning Dec 2020; total $3,500,000",40600000.0,tax abatement (10-year tax abatement (to be applied for)),completed,2020-12-21,,,,,1050000.0,"Distric at 6th, LLC",39600000.0,2019.0,DES MOINES METRO CENTER MERGED UR,,213.0,Metro Center Urban Renewal Area,17-1415,approve development agreement,2017-08-14,approved,7-0,,high,counterparty_changed_across_actions;multi_meeting_project,2016-12-19: other [33] (approved) | 2017-01-23: resolution of intent [17-0135] (approved) | 2017-08-14: approve development agreement [17-1415] (approved) | 2019-04-08: other [19-0555] (approved) | 2019-11-18: amend agreement [19-1837] (approved) | 2020-12-21: certificate of completion [20-2121] (approved) | 2023-10-23: other [23-1436] (approved),2017-08-14,2017-08-14,https://councildocs.dsm.city/communications/2017/17-575.pdf,1,"20 semi-annual payments of $175,000 beginning in December 2020"
"HRC NFS I, LLC and Hubbell Realty Company",Gray's Station,Residential,"vicinity of 1300 Tuttle Street (south of MLK Jr Pkwy, north of Raccoon River)",12523258.0,unverified (no NPV stated in source),,21.2,"project-generated TIF $12,523,258 over <=20 yrs; part of total assistance NPV $9,485,127",59000000.0,"economic development grant $3,000,000 (3 disbursements via interfund loan from Sanitary Sewer Enterprise, repaid by Metro Center TIF over ~12 yrs); economic development grant $2,477,482 (from Metro Center UR Area over 7 yrs)",approved,,,,,,2402909.0,Gray's Station,,,,,,Metro Center Urban Renewal Area,17-1408,approve development agreement,2017-08-14,approved,6-1,,high,amendment_number_discrepancy;figure_not_in_source;multi_meeting_project,2017-08-14: approve development agreement [17-1408] (approved) | 2018-11-05: resolution of intent [18-1859] (approved) | 2020-01-27: amend agreement [44] (approved) | 2025-12-22: amend agreement [25-1684] (approved),2017-08-14,2017-08-14,https://councildocs.dsm.city/communications/2017/17-603.pdf,2,"Project generated tax increment in the amount of $12,523,258"
"Ingersoll Square Phase III Associates, L.P.",Ingersoll Square Phase III,Other,NE corner of Martin Luther King Jr. Parkway and Ingersoll Avenue,574594.0,unverified (no NPV stated in source),,7.0,"58% of project increment yrs 11-20; NPV $574,594 (existing, unchanged)",8200000.0,"loan $300,000 (HOME (Home Opportunity Made Easy) funds (existing)); economic development grant $430,000 (supplemental grant later revised to supplemental loan from land-sale proceeds; City to forgo est. 50%+ of repayment)",approved,,,,,,,,,,,,,,17-1257,other,2017-07-24,approved,7-0,,medium,,2017-07-24: other [17-1257] (approved),2017-07-24,2017-07-24,https://councildocs.dsm.city/communications/2017/17-566.pdf,1,"forgo potential repayment of a portion of the $430,000 supplemental loan"
"Raccoon Valley Investment Company, LC",Courtyard by Marriott hotel,Hotel,northeast corner of Fleur Drive and McKinley Avenue,,,,,"project-generated TIF rebate for 15 yrs or until UR plan expiration (2034), whichever sooner",13000000.0,,approved,,,,,,89543.0,Raccoon Valley Investments LLC,,,,,,Fleur Drive Commercial Urban Renewal Area,17-1060,approve development agreement,2017-06-26,approved,6-1,,medium,figure_not_in_source,2017-06-26: approve development agreement [17-1060] (approved),,2017-06-26,https://councildocs.dsm.city/communications/2017/17-505.pdf,1,project-generated tax increment for 15 years or until the expiration
"Eagle View Lofts, LLC",Eagle View Lofts,Residential,SE 6th Street and Shaw Street (712 SE 6th Street),,,,,,18000000.0,"forgivable loan $251,350 (structured from land sale proceeds (2016)); loan $3,225,000 (Community Development Block Grant-Disaster Recovery loan (prior action RC 16-0344))",completed,2018-01-22,,,,,,,,,,62.0,120.0,,17-0984,amend agreement,2017-06-12,approved,7-0,,high,,2017-06-12: amend agreement [17-0984] (approved),,2017-06-12,https://councildocs.dsm.city/communications/2017/17-472.pdf,1,"$251,350 forgivable loan from land sale proceeds"
"Wilkins Redevelopment, LLC",Wilkins Building (former Younkers),Residential,713 Walnut Street,3200000.0,unverified (no NPV stated in source),,11.9,"15-yr 100% project-generated TIF ($3.2M NPV) replacing abatement, plus existing $1,539,590 backstop for Tea Room lease-up; net impact ~$443,000",27000000.0,,completed,2017-08-28,,,,,1637532.0,Wilkins Redevelopment LLC,19125200.0,2010.0,DES MOINES METRO CENTER MERGED UR,31.0,60.0,Metro Center Urban Renewal Area,17-0874,amend agreement,2017-05-22,,,,medium,minutes_truncated,2017-05-22: amend agreement [17-0874],2017-05-22,2017-05-22,https://councildocs.dsm.city/communications/2017/17-453.pdf,1,"replace the abatement with a 15-year, 100% project generated tax increment financing"
